,baseMean,log2FoldChange,lfcSE,pvalue,padj
OVCH1,3.0180394634638392,-1.7931917250085967,0.4608369761790412,5.378190680877775e-06,0.0007717174298867919
MYO3B,2.435460413429997,1.024990846107546,0.7762381244643691,0.0008355337375256512,0.033911103088908136
MCM10,4.569876976345551,1.0930096677344598,0.32756092759914207,4.008718904177931e-05,0.0037366245122363202
AVPR2,3.4609137916709276,-1.1138245894997199,0.4788341188588691,0.00018658582192740858,0.011636016910702589
FER1L4,4.179913878168352,1.381516111106993,0.32642654350815303,4.13393195386309e-06,0.000635636203846128
P2RX2,2.5174460609987976,-1.529117491278897,0.6337716641521132,0.0001032402160454837,0.007580781578196946
NMU,2.7162664925034252,2.261532150060021,0.5452277392406326,8.496831942950552e-07,0.00019349114766288662
GCNT3,5.508797446758403,1.1277444337286875,0.266333332565625,5.405024800763523e-06,0.0007717174298867919
ZYG11A,2.4883443650961232,2.719394957779342,0.5874713872169564,3.5880120446988974e-08,1.698640439056136e-05
HNF4G,4.263374429188687,1.206741484484306,0.342625722009778,2.6760315861033155e-05,0.0027198761714123526
AKR1B10,3.215435703265937,2.5256750595740676,0.516221400951034,1.907406108334111e-08,1.1832495134114018e-05
PPAPDC1A,2.2961979626066937,1.0718551761475286,0.8825568131736403,0.0008294686045636899,0.033911103088908136
FAM155B,3.067838886797996,1.319987632407144,0.499995074758581,0.00010030492793312985,0.00742586688690126
KLK5,2.4103374715485986,-1.266098947815628,0.83068678512427,0.00043685796274952043,0.022326916903022364
MB,4.2286663744554245,1.2672931984686782,0.34165763815847355,1.755366617726462e-05,0.0019493237933888303
C16orf59,3.9566040168654206,1.157058870040531,0.3742997359063841,5.811693096752171e-05,0.00484571710091177
B3GNT6,3.223240772978093,1.914316568044365,0.4803838303707623,3.265916862027316e-06,0.0005245878959631376
B3GNT3,6.093561678545518,1.1045048004873501,0.2400751379069275,1.5959044427303608e-06,0.00029598268994555867
ANGPT4,2.773721495212355,-2.216196024869044,0.5029710589972398,3.883453504939089e-07,0.00010452272544016227
ACOXL,5.567221572753905,-1.006742070789879,0.29027018841043545,3.291245417908503e-05,0.003183306724095375
OTC,1.6317359758860854,-1.135230984646222,1.0812199657773363,0.0006020496420421206,0.027213248895320983
PLA2G3,4.457287006719207,-1.036515430264505,0.38466137497295816,0.00011311974749486817,0.008011906525325505
FRMD5,2.884318516984232,1.9299558742529275,0.47302659524657353,2.4105348040457217e-06,0.00040910868985643894
KRT4,6.262145091491704,-1.2458693773484844,0.24623555693672067,1.7334133829110614e-07,5.28544182348644e-05
ST8SIA6,3.6027100214764167,-1.6413355889308123,0.36859050258297293,1.2828950825690676e-06,0.0002545490804906597
TFAP2A,4.785743177541811,1.3329160763926147,0.2901797017261983,1.2496064399215033e-06,0.0002545490804906597
PRSS3,2.193994100173804,1.0242320649995502,0.8785453222942028,0.0009526615089446895,0.03677764065646988
ACTN2,3.9305888726131037,-1.3711154823432459,0.3402886725322622,7.4405001513305e-06,0.000982416961616736
SALL4,2.5124362126376885,1.3229507141186978,0.676433750132587,0.00024873710070079114,0.014698261416528711
PTPRH,4.24207618196428,1.9007173942339894,0.33883508548002417,2.4967076601915792e-09,2.363987937202448e-06
PCSK2,4.596035059734936,-1.1379428703210845,0.39898999207812585,8.517009236927836e-05,0.00657600841941338
DUSP27,2.3823748353727185,-1.1458348595769223,0.7491011807758675,0.000540431940695734,0.02533169992897892
